Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Sort Order
gpi-black-salt-1kg,GPI Black Salt 1kg,<p>GPI Black Salt 1kg from GPI.</p>,GPI,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,120.00,,true,true,,,,,,/products/GPI Black Salt 1Kg.png,1,,,,,,kg,,120.00,active,11
gpi-iodine-salt-1kg,GPI Iodine Salt 1kg,<p>GPI Iodine Salt 1kg from GPI.</p>,GPI,,,Salt,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,30.00,,true,true,,,,,,/products/GPI Iodine Salt 1Kg.png,1,,,,,,kg,,30.00,active,12
gpi-garam-masala-100g,GPI Garam Masala 100gm,<p>GPI Garam Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Garam Masala 100g.png,1,,,,,,kg,,139.00,active,13
gpi-ktchen-king-100g,GPI Kitchen King Masala 100gm,<p>GPI Kitchen King Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Ktchen King 100g.png,1,,,,,,kg,,139.00,active,14
gpi-chana-masala-100g,GPI Chana Masala 100gm,<p>GPI Chana Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Chana Masala 100g.png,1,,,,,,kg,,139.00,active,15
gpi-paneer-masala-100g,GPI Paneer Masala 100gm,<p>GPI Paneer Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Paneer Masala 100g.png,1,,,,,,kg,,139.00,active,16
gpi-dal-makhani-100g,GPI Dal Makhani Masala 100gm,<p>GPI Dal Makhani Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Dal Makhani 100g.png,1,,,,,,kg,,139.00,active,17
gpi-soya-chaap-masala-100g,GPI Soya Chaap Masala 100gm,<p>GPI Soya Chaap Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Soya Chaap Masala 100g.png,1,,,,,,kg,,139.00,active,18
gpi-sambhar-masala-100g,GPI Sambhar Masala 100gm,<p>GPI Sambhar Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Sambhar Masala 100g.png,1,,,,,,kg,,139.00,active,19
gpi-pav-bhaji-100g,GPI Pav Bhaji Masala 100gm,<p>GPI Pav Bhaji Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Pav Bhaji 100g.png,1,,,,,,kg,,139.00,active,20
gpi-raita-masala-100g,GPI Raita Masala 100gm,<p>GPI Raita Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Raita Masala 100g.png,1,,,,,,kg,,139.00,active,21
gpi-chaat-masala-100g,GPI Chaat Masala 100gm,<p>GPI Chaat Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Chaat Masala 100g.png,1,,,,,,kg,,139.00,active,22
gpi-chicken-masala-100g,GPI Chicken Masala 100gm,<p>GPI Chicken Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Chicken Masala 100g.png,1,,,,,,kg,,139.00,active,23
gpi-egg-curry-100g,GPI Egg Curry Masala 100gm,<p>GPI Egg Curry Masala 100gm from GPI.</p>,GPI,,,Masala,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,139.00,,true,true,,,,,,/products/GPI Egg Curry 100g.png,1,,,,,,kg,,139.00,active,24
gpi-premium-detergent-powder,GPI Detergent Premium 1kg,<p>GPI Detergent Premium 1kg from GPI.</p>,GPI,,,Detergent,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,99.00,,true,true,,,,,,/products/GPI Premium Detergent Powder.png,1,,,,,,kg,,99.00,active,25
gpi-super-detergent-powder,GPI Detergent Super 1kg,<p>GPI Detergent Super 1kg from GPI.</p>,GPI,,,Detergent,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,125.00,,true,true,,,,,,/products/GPI Super Detergent Powder.png,1,,,,,,kg,,125.00,active,26
gpi-gold-detergent-powder,GPI Detergent Gold 1kg,<p>GPI Detergent Gold 1kg from GPI.</p>,GPI,,,Detergent,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,155.00,,true,true,,,,,,/products/GPI Gold Detergent Powder.png,1,,,,,,kg,,155.00,active,27
gpi-premium-detergent-500g,GPI Detergent Premium 500gm,<p>GPI Detergent Premium 500gm from GPI.</p>,GPI,,,Detergent,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,52.00,,true,true,,,,,,/products/GPI Premium Detergent Powder.png,1,,,,,,kg,,52.00,active,28
gpi-super-detergent-500g,GPI Detergent Super 500gm,<p>GPI Detergent Super 500gm from GPI.</p>,GPI,,,Detergent,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,65.00,,true,true,,,,,,/products/GPI Super Detergent Powder.png,1,,,,,,kg,,65.00,active,29
gpi-gold-detergent-500g,GPI Detergent Gold 500gm,<p>GPI Detergent Gold 500gm from GPI.</p>,GPI,,,Detergent,true,Title,Default Title,,,,,,,,,,shopify,100,deny,manual,80.00,,true,true,,,,,,/products/GPI Gold Detergent Powder.png,1,,,,,,kg,,80.00,active,30
